gene,species,replicate,exprval
5,5109,R1,8
5,5111,R1,1
5,5115,R1,1
5,5120,R1,3
5,5121,R1,0
5,5125,R1,0
5,5126,R1,0
5,5127,R1,0
5,5132,R1,0
5,5147,R1,0
5,5149,R1,5
5,5150,R1,6
5,5151,R1,16
5,5153,R1,11
5,5157,R1,8
5,5161,R1,0
5,5168,R1,8
5,5170,R1,3
5,5174,R1,3
5,5175,R1,0
5,5180,R1,0
5,5181,R1,0
5,5182,R1,0
5,5189,R1,4
5,5190,R1,4
5,5193,R1,1
5,5196,R1,6
5,5197,R1,0
5,5206,R1,0
5,5209,R1,10
5,5211,R1,15
5,5215,R1,2
5,5237,R1,0
5,5238,R1,0
5,5239,R1,2
5,5240,R1,1
5,5242,R1,1
5,5244,R1,0
5,5245,R1,2
5,5249,R1,1
5,5254,R1,6
5,5255,R1,0
5,5259,R1,2
5,5261,R1,0
5,5265,R1,0
5,5268,R1,10
5,5271,R1,3
5,5275,R1,11
5,5282,R1,4
5,5288,R1,5
5,5289,R1,10
5,5295,R1,1
5,5297,R1,0
5,5298,R1,1
5,5301,R1,5
5,5303,R1,6
5,5304,R1,6
5,5312,R1,0
5,5318,R1,5
5,5322,R1,11
5,5324,R1,5
5,5325,R1,9
5,5327,R1,1
5,5333,R1,3
5,5336,R1,0
5,5339,R1,0
5,5341,R1,0
5,5345,R1,2
5,5346,R1,6
5,5348,R1,7
5,5349,R1,11
5,5351,R1,6
5,5353,R1,0
5,5356,R1,10
5,5357,R1,0
5,5364,R1,3
5,5365,R1,0
5,5366,R1,0
5,5371,R1,11
5,5375,R1,9
5,5378,R1,0
5,5383,R1,19
5,5385,R1,1
5,5391,R1,5
5,5400,R1,9
5,5401,R1,4
5,5402,R1,8
5,5404,R1,9
5,5405,R1,13
5,5407,R1,1
5,5421,R1,7
5,5426,R1,7
5,5436,R1,10
5,5438,R1,7
5,5443,R1,9
5,5447,R1,7
5,5449,R1,3
5,5450,R1,11
5,5461,R1,8
5,5462,R1,4
5,5464,R1,5
5,5465,R1,7
5,5470,R1,3
5,5475,R1,6
5,5479,R1,6
5,5483,R1,5
5,5484,R1,7
5,5485,R1,12
5,5487,R1,6
5,5490,R1,10
5,5491,R1,10
5,5495,R1,15
5,5499,R1,8
5,5510,R1,13
5,5515,R1,8
5,5517,R1,3
5,5518,R1,5
5,5522,R1,8
5,5523,R1,2
5,5525,R1,13
5,5527,R1,6
5,5528,R1,8
5,5529,R1,8
5,5531,R1,4
5,5533,R1,6
5,5538,R1,8
5,5540,R1,9
6,4895,R1,1
6,4903,R1,9
6,4905,R1,10
6,4909,R1,8
6,4910,R1,6
6,4915,R1,3
6,4916,R1,3
6,4918,R1,0
6,4919,R1,6
6,4921,R1,4
6,4929,R1,3
6,4930,R1,16
6,4934,R1,2
6,4942,R1,9
6,4945,R1,11
6,4951,R1,6
6,4956,R1,16
6,4959,R1,8
6,4966,R1,14
6,4967,R1,9
6,4972,R1,0
6,4977,R1,12
6,4979,R1,0
6,4981,R1,1
6,4983,R1,5
6,4984,R1,6
6,4990,R1,0
6,4991,R1,7
6,4995,R1,7
6,4996,R1,5
6,4997,R1,1
6,5000,R1,7
6,5002,R1,6
6,5011,R1,2
6,5014,R1,0
6,5017,R1,3
