gene,species,replicate,exprval
6,c5529,R1,0
6,c5419,R1,0
6,c5533,R1,0
6,c5534,R1,0
6,c5485,R1,0
6,c5461,R1,0
6,c5462,R1,0
6,c5542,R1,0
6,c5482,R1,0
6,c5431,R1,0
6,c5429,R1,0
6,c5430,R1,0
6,c5479,R1,0
6,c5478,R1,18
6,c5442,R1,1
6,c5494,R1,1
6,c5443,R1,0
6,c5526,R1,0
6,c5495,R1,0
6,c5496,R1,1
6,c5422,R1,0
6,c5503,R1,0
6,c5425,R1,1
6,c5528,R1,0
6,c5536,R1,0
6,c5463,R1,0
6,c5464,R1,0
6,c5438,R1,0
6,c5505,R1,0
6,c5242,R1,0
6,c4996,R1,1
6,c5164,R1,0
6,c5192,R1,1
6,c5317,R1,1
6,c5318,R1,0
6,c5012,R1,0
6,c5371,R1,0
6,c4971,R1,1
6,c5249,R1,0
6,c5250,R1,0
6,c5028,R1,0
6,c5153,R1,1
6,c5154,R1,0
6,c5008,R1,0
6,c5337,R1,0
6,c5066,R1,0
6,c4929,R1,3
6,c5162,R1,0
6,c5181,R1,0
6,c5182,R1,0
6,c5195,R1,0
6,c4909,R1,0
6,c4910,R1,0
6,c4940,R1,0
6,c5311,R1,0
6,c5041,R1,1
6,c5308,R1,0
6,c4956,R1,0
6,c5174,R1,1
6,c5078,R1,0
6,c5072,R1,1
6,c5274,R1,0
6,c5118,R1,0
6,c5233,R1,0
6,c5234,R1,0
6,c5401,R1,0
6,c5169,R1,0
6,c5053,R1,0
6,c5026,R1,0
6,c5376,R1,0
6,c5232,R1,0
6,c5316,R1,1
6,c5396,R1,1
6,c5313,R1,3
6,c5314,R1,0
6,c4911,R1,0
6,c5040,R1,0
6,c5189,R1,5
6,c5009,R1,0
6,c5321,R1,0
6,c4983,R1,0
6,c4984,R1,0
6,c5207,R1,0
6,c5208,R1,0
6,c4921,R1,0
6,c4922,R1,0
6,c5103,R1,0
6,c5104,R1,0
6,c5299,R1,0
6,c5300,R1,0
6,c5330,R1,0
6,c5343,R1,0
6,c5346,R1,0
6,c5051,R1,0
6,c4936,R1,2
6,c5285,R1,0
6,c5017,R1,0
6,c5296,R1,0
6,c5080,R1,0
6,c4969,R1,0
6,c5002,R1,0
6,c5327,R1,0
6,c5083,R1,0
6,c5084,R1,0
6,c5131,R1,3
6,c5132,R1,2
6,c5144,R1,0
6,c5357,R1,0
6,c5358,R1,0
6,c5127,R1,0
6,c5128,R1,0
6,c4985,R1,0
6,c5325,R1,0
6,c5055,R1,0
6,c5303,R1,0
6,c5383,R1,0
6,c5384,R1,2
6,c5151,R1,12
6,c4923,R1,0
6,c5264,R1,0
6,c5157,R1,0
6,c5365,R1,0
6,c5238,R1,0
6,c4917,R1,0
6,c5206,R1,0
6,c5168,R1,0
6,c5109,R1,0
6,c4944,R1,3
6,c5281,R1,0
6,c4902,R1,0
6,c5176,R1,0
6,c5251,R1,0
6,c5148,R1,2
6,c5197,R1,15
6,c4898,R1,0
6,c4906,R1,0
6,c5269,R1,2
6,c4946,R1,0
6,c5399,R1,0
6,c4961,R1,0
6,c4974,R1,0
6,c5220,R1,0
6,c5353,R1,0
6,c4991,R1,0
6,c4976,R1,0
6,c5267,R1,0
6,c4947,R1,0
6,c5406,R1,0
6,c5222,R1,0
6,c5247,R1,0
7,c5171,R1,1
7,c5004,R1,0
7,c5215,R1,0
7,c5183,R1,0
7,c5184,R1,0
7,c5058,R1,1
7,c4920,R1,0
7,c5214,R1,0
7,c5141,R1,0
7,c5142,R1,0
7,c5391,R1,0
7,c5392,R1,0
7,c4997,R1,32
7,c5259,R1,0
7,c5260,R1,0
7,c4989,R1,0
7,c4990,R1,8
7,c5255,R1,9
7,c5256,R1,0
7,c5246,R1,5
7,c5122,R1,0
7,c5024,R1,0
7,c5385,R1,0
7,c5333,R1,0
7,c4965,R1,1
7,c4978,R1,0
7,c5397,R1,5
7,c5106,R1,0
7,c5230,R1,0
7,c5130,R1,0
7,c5063,R1,7
7,c5408,R1,6
7,c5140,R1,4
7,c4958,R1,0
7,c5124,R1,0
7,c5043,R1,0
7,c5524,R1,0
7,c5532,R1,5
7,c5483,R1,0
7,c5484,R1,6
7,c5434,R1,0
7,c5472,R1,0
7,c5436,R1,0
7,c5515,R1,0
7,c5529,R1,0
7,c5419,R1,0
7,c5533,R1,8
7,c5534,R1,0
7,c5485,R1,0
7,c5461,R1,0
7,c5462,R1,0
7,c5542,R1,0
7,c5482,R1,0
7,c5431,R1,0
7,c5429,R1,0
7,c5430,R1,0
7,c5479,R1,0
7,c5478,R1,0
7,c5442,R1,0
7,c5494,R1,2
7,c5443,R1,0
7,c5526,R1,0
7,c5495,R1,2
7,c5496,R1,0
7,c5422,R1,0
7,c5503,R1,0
7,c5425,R1,0
7,c5528,R1,0
7,c5536,R1,6
7,c5463,R1,0
7,c5464,R1,0
7,c5438,R1,1
7,c5505,R1,0
7,c5242,R1,0
7,c4996,R1,0
7,c5164,R1,0
7,c5192,R1,1
7,c5317,R1,0
7,c5318,R1,23
7,c5012,R1,0
7,c5371,R1,2
7,c4971,R1,0
7,c5249,R1,0
7,c5250,R1,1
7,c5028,R1,0
7,c5153,R1,0
7,c5154,R1,0
7,c5008,R1,0
7,c5337,R1,0
7,c5066,R1,4
7,c4929,R1,0
7,c5162,R1,2
7,c5181,R1,0
7,c5182,R1,0
7,c5195,R1,0
7,c4909,R1,1
7,c4910,R1,0
7,c4940,R1,0
7,c5311,R1,0
7,c5041,R1,0
7,c5308,R1,0
