gene_index	gene	corr_pseudotime_glu	corr_pseudotime_da	corr_da_minus_glu	lavous_p	lavous_q	lavous_signif	lavous_lrt
444	Ino80dos	-0.13044757016686362	-0.09118596719555369	0.03926160297130993			False	
445	Gm20342	-0.15831965767829984	-0.07928941481616883	0.079030242862131			False	
446	Ndufs1	0.056343815578964195	-0.025754036698679553	-0.08209785227764374			False	
447	Eef1b2	0.39940792467412317	0.4052706401193137	0.005862715445190514			False	
448	Gpr1	0.04694497885534852	0.014665915401471797	-0.032279063453876725			False	
449	Platr12						False	
450	Gm11608						False	
451	Zdbf2	0.4695609181708675	0.46083014809234646	-0.008730770078521022			False	
452	Adam23	0.17088635953499656	0.17026942987713595	-0.0006169296578606154			False	
453	Gm39653	0.03656342663683556	0.0320318150639078	-0.004531611572927759			False	
454	Dytn	0.11662885838039855					False	
455	Mdh1b	-0.09607690356981828	-0.1161886201469524	-0.02011171657713412			False	
456	Fastkd2	-0.019171445157701646	-0.03505369236945828	-0.015882247211756635			False	
457	4933402D24Rik						False	
458	Gm13749						False	
459	Klf7	0.4467916143777055	0.35025655111663867	-0.09653506326106681			False	
460	Gm13748						False	
461	Gm28981						False	
462	Creb1	0.04024146998705258	0.014894120313421856	-0.025347349673630726			False	
463	Mettl21a	-0.041316903382130156	-0.07227906160687525	-0.030962158224745094			False	
464	Gm28982						False	
465	Gm29152						False	
466	2810408I11Rik	-0.05147523668178909	0.0014181830776811204	0.05289341975947021			False	
467	Ccnyl1	0.02990873214640131	0.015035285058606823	-0.014873447087794488			False	
468	Fzd5						False	
469	Plekhm3	-0.10652565760965743	-0.053051294938200474	0.05347436267145696			False	
470	Akr1cl						False	
471	Cryge						False	
472	Crygd						False	
473	Crygc						False	
474	Crygb	0.020242839907748535					False	
475	Cryga	0.049650682232184724	-0.0015946702677089666	-0.05124535249989369			False	
476	D630023F18Rik	0.006419290793939854	0.021387488087091264	0.01496819729315141			False	
