ID	gene	h0_r	h0_alpha	h0_sigma	h0_theta	h1_r	h1_alpha	h1_sigma	h1_theta_T1	h1_theta_Met	h0	h1	lrt	p	q	signif
2715	Prcp	4.79514	6.3608074	1.6537544	-1.7126877	11.47862	6.243308	2.0845096	-1.7797924280166626	-1.7605597972869873	569.1444	569.0844	0.11999512	0.729039785402145	0.7866401402518884	False
2778	Gabarapl2	40.023144	6.4551473	1.737066	0.41871688	93.24422	6.465906	1.9020118	0.44971391558647156	0.3841288089752197	1174.5382	1174.4785	0.119384766	0.7297027210022524	0.78715221245958	False
3479	Tsr1	12.230986	6.0511546	2.4905019	-1.1639956	28.89997	5.971555	2.6566641	-1.2132874727249146	-1.1766115427017212	801.4068	801.3474	0.118774414	0.7303675562609236	0.7876660690617807	False
2658	Dhx9	54.911594	6.005647	1.9888105	-0.618036	38.256477	6.078608	1.9558163	-0.5699796080589294	-0.6373615860939026	965.74835	965.6924	0.11193848	0.7379479093484971	0.7956357877108795	False
1910	Apoa1bp	60.05496	6.1527166	1.996701	0.7838995	229.01355	5.8455524	2.1121051	0.6704257130622864	0.8346278667449951	1148.1666	1148.1108	0.111572266	0.7383611851350457	0.7958760362856219	False
3318	Pank3	1.6016941	6.4702473	2.0167813	-1.8946655	1.5220488	6.513535	1.9380758	-1.835458755493164	-1.911513328552246	508.63712	508.58337	0.10748291	0.7430282080433694	0.8007000725665913	False
3688	Colec12	10.179047	5.417008	4.942128	0.19807875	13.0360775	5.5815687	5.1347547	0.11665064841508865	0.225423201918602	1036.0352	1035.9832	0.104003906	0.7470766901425161	0.8048552431311098	False
3037	Ugp2	28.909094	6.4876285	1.5916907	-0.83981794	51.80765	6.513494	1.4696851	-0.8145919442176819	-0.842380940914154	878.79663	878.7457	0.10180664	0.7496722727168819	0.8074434091968683	False
3048	Sfr1	8.626878	4.302783	3.1963713	4.5247936	7.4624205	5.2313204	2.883059	4.697873592376709	4.39270544052124	-2951.0796	-2951.1265	0.09375	0.7594628653799336	0.8177777156461588	False
3715	Mbd1	3.609948	5.8739743	3.1895716	-1.5558606	3.3898594	5.8658357	3.1564362	-1.6039849519729614	-1.5184597969055176	664.9246	664.8787	0.091796875	0.7619051101555305	0.8201961502678934	False
2956	Sfmbt1	2.029623	6.4467216	1.5119599	-1.9941796	1.9651421	6.4586945	1.5127355	-2.0377509593963623	-1.9738396406173706	481.95648	481.9115	0.08996582	0.7642206125075789	0.8224769352740593	False
